 VARIABLES = X, RHO, U, T, P, PERTURBATION, error1, error2, N
ZONE I =  600, DATAPACKING=BLOCK
 9.1583333333333339E-01   9.1750000000000009E-01   9.1916666666666669E-01   9.2083333333333339E-01   9.2250000000000010E-01   9.2416666666666669E-01   9.2583333333333340E-01   9.2750000000000010E-01   9.2916666666666670E-01
 9.3083333333333340E-01   9.3250000000000011E-01   9.3416666666666670E-01   9.3583333333333341E-01   9.3750000000000011E-01   9.3916666666666671E-01   9.4083333333333341E-01   9.4250000000000012E-01   9.4416666666666671E-01
 9.4583333333333341E-01   9.4750000000000001E-01   9.4916666666666671E-01   9.5083333333333342E-01   9.5250000000000001E-01   9.5416666666666672E-01   9.5583333333333342E-01   9.5750000000000002E-01   9.5916666666666672E-01
 9.6083333333333343E-01   9.6250000000000002E-01   9.6416666666666673E-01   9.6583333333333343E-01   9.6750000000000003E-01   9.6916666666666673E-01   9.7083333333333344E-01   9.7250000000000003E-01   9.7416666666666674E-01
 9.7583333333333344E-01   9.7750000000000004E-01   9.7916666666666674E-01   9.8083333333333345E-01   9.8250000000000004E-01   9.8416666666666675E-01   9.8583333333333345E-01   9.8750000000000004E-01   9.8916666666666675E-01
 9.9083333333333334E-01   9.9250000000000005E-01   9.9416666666666675E-01   9.9583333333333335E-01   9.9750000000000005E-01   9.9916666666666676E-01
 1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00
 1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00
 1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00
 1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00
